datetime,temp,total_lmp_da,date,time,TCL1 θ,TCL1 p,TCL2 θ,TCL2 p,Batt1 U,Batt1 p,Batt2 U,Batt2 p,EV1 U,EV1 p,EV2 U,EV2 p,EV3 U,EV3 p,p,cluster
2024-10-13T00:00:00.0,10.0,22.4,2024-10-13,00:00:00.0,22.491666666666667,0.0,22.49,0.0,500.0,0.0,100.0,0.0,500.0,0.0,900.0,0.0,0.0,0.0,0.0,9
2024-10-13T01:00:00.0,10.6,20.8,2024-10-13,01:00:00.0,22.48373888888889,0.0,22.53048799999997,-250.0,500.0,0.0,100.0,0.0,500.0,0.0,900.0,0.0,40.5,-45.0,-29.5,9
2024-10-13T02:00:00.0,11.2,18.27,2024-10-13,02:00:00.0,22.476216396296298,0.0,22.57142360959997,-250.0,500.0,0.0,100.0,0.0,500.0,0.0,900.0,0.0,81.0,-45.0,-29.5,9
2024-10-13T03:00:00.0,11.5,17.58,2024-10-13,03:00:00.0,22.4920404727499,-231.4155405113361,22.61256647071229,-250.0,590.0,-100.0,140.0,-50.0,580.0,-100.0,900.0,0.0,121.5,-45.0,-77.64155405113361,9
2024-10-13T04:00:00.0,11.5,14.62,2024-10-13,04:00:00.0,22.509712445768066,-250.0,22.65367641753572,-250.0,680.0,-100.0,180.0,-50.0,660.0,-100.0,960.0,-100.0,162.0,-45.0,-89.5,9
2024-10-13T05:00:00.0,11.2,14.08,2024-10-13,05:00:00.0,22.527172637470887,-250.0,22.694513476401692,-250.0,770.0,-100.0,220.0,-50.0,740.0,-100.0,1020.0,-100.0,202.5,-45.0,-89.5,9
2024-10-13T06:00:00.0,11.8,17.57,2024-10-13,06:00:00.0,22.545021189045904,-250.0,22.735797865620572,-250.0,860.0,-100.0,260.0,-50.0,820.0,-100.0,1020.0,0.0,243.0,-45.0,-79.5,9
2024-10-13T07:00:00.0,11.7,20.15,2024-10-13,07:00:00.0,22.53779117491987,0.0,22.776969227328077,-250.0,860.0,0.0,260.0,0.0,820.0,0.0,1020.0,0.0,283.5,-45.0,-29.5,9
2024-10-13T08:00:00.0,12.7,20.43,2024-10-13,08:00:00.0,22.531232647469924,0.0,22.818907651946216,-250.0,860.0,0.0,260.0,0.0,820.0,0.0,1020.0,0.0,324.0,-45.0,-29.5,9
2024-10-13T09:00:00.0,13.7,21.0,2024-10-13,09:00:00.0,22.525345159038277,0.0,22.861612525824658,-250.0,860.0,0.0,260.0,0.0,820.0,0.0,1020.0,0.0,364.5,-45.0,-29.5,9
2024-10-13T10:00:00.0,15.4,17.8,2024-10-13,10:00:00.0,22.52059492893225,0.0,22.905643235804,-250.0,900.0,-44.44444444444444,271.42857142857144,-14.285714285714286,900.0,-100.0,1020.0,0.0,405.0,-45.0,-45.37301587301587,9
2024-10-13T11:00:00.0,18.2,19.49,2024-10-13,11:00:00.0,22.517714532312965,0.0,22.95187872121536,-250.0,900.0,0.0,271.42857142857144,0.0,900.0,0.0,1020.0,0.0,445.5,-45.0,-29.5,9
2024-10-13T12:00:00.0,20.5,21.84,2024-10-13,12:00:00.0,22.51636938929142,0.0,22.973647100709425,-118.64941235519063,900.0,0.0,271.42857142857144,0.0,900.0,0.0,1020.0,0.0,486.0,-45.0,-16.364941235519062,9
2024-10-13T13:00:00.0,21.5,23.39,2024-10-13,13:00:00.0,22.51569180969856,0.0,22.97246818302886,0.0,900.0,0.0,271.42857142857144,0.0,900.0,0.0,1020.0,0.0,486.0,0.0,0.0,9
2024-10-13T14:00:00.0,22.3,23.37,2024-10-13,14:00:00.0,22.51554801515876,0.0,22.971930208482437,0.0,900.0,0.0,271.42857142857144,0.0,900.0,0.0,1020.0,0.0,486.0,0.0,0.0,9
2024-10-13T15:00:00.0,23.2,21.95,2024-10-13,15:00:00.0,22.516004316481986,0.0,22.972112664315652,0.0,900.0,0.0,271.42857142857144,0.0,900.0,0.0,1020.0,0.0,486.0,0.0,0.0,9
2024-10-13T16:00:00.0,23.7,23.71,2024-10-13,16:00:00.0,22.516793646937664,0.0,22.9726949741842,0.0,900.0,0.0,271.42857142857144,0.0,900.0,0.0,1020.0,0.0,486.0,0.0,0.0,9
2024-10-13T17:00:00.0,22.7,33.54,2024-10-13,17:00:00.0,22.51691578450637,0.0,22.972476818204854,0.0,800.0,80.0,214.28571428571428,40.0,900.0,0.0,1020.0,0.0,486.0,0.0,12.0,9
2024-10-13T18:00:00.0,21.6,49.67,2024-10-13,18:00:00.0,22.516304507316697,0.0,22.97137883675029,0.0,700.0,80.0,157.14285714285714,40.0,900.0,0.0,1020.0,0.0,486.0,0.0,12.0,9
2024-10-13T19:00:00.0,20.2,43.54,2024-10-13,19:00:00.0,22.514760304311817,0.0,22.96916173368089,0.0,600.0,80.0,100.0,40.0,900.0,0.0,1020.0,0.0,486.0,0.0,12.0,9
2024-10-13T20:00:00.0,18.4,25.56,2024-10-13,20:00:00.0,22.51201713077561,0.0,22.965506404293947,0.0,500.0,80.0,100.0,0.0,900.0,0.0,1020.0,0.0,486.0,0.0,8.0,9
2024-10-13T21:00:00.0,17.7,22.61,2024-10-13,21:00:00.0,22.50880911935509,0.0,22.96129399917051,0.0,500.0,0.0,100.0,0.0,900.0,0.0,1020.0,0.0,486.0,0.0,0.0,9
2024-10-13T22:00:00.0,16.6,23.71,2024-10-13,22:00:00.0,22.50486991327552,0.0,22.956204963971174,0.0,500.0,0.0,100.0,0.0,900.0,0.0,1020.0,0.0,486.0,0.0,0.0,9
2024-10-13T23:00:00.0,15.2,21.63,2024-10-13,23:00:00.0,22.5,0.0,23.0,-250.0,500.0,0.0,100.0,0.0,900.0,0.0,1020.0,0.0,526.5,-45.0,-29.5,9
2024-10-14T00:00:00.0,14.6,19.38,2024-10-14,00:00:00.0,22.494733333333333,0.0,22.543680000000002,-250.0,590.0,-100.0,100.0,0.0,580.0,-100.0,900.0,0.0,40.5,-45.0,-49.5,3
2024-10-14T01:00:00.0,14.2,17.09,2024-10-14,01:00:00.0,22.49429311864478,-50.89607533670984,22.587005055999985,-250.0,680.0,-100.0,140.0,-50.0,660.0,-100.0,900.0,0.0,81.0,-45.0,-59.589607533670986,3
2024-10-14T02:00:00.0,13.8,14.82,2024-10-14,02:00:00.0,22.51349692323235,-250.0,22.629975451955186,-250.0,770.0,-100.0,180.0,-50.0,740.0,-100.0,960.0,-100.0,121.5,-45.0,-89.5,3
2024-10-14T03:00:00.0,12.6,16.03,2024-10-14,03:00:00.0,22.531887925283524,-250.0,22.671951471593623,-250.0,860.0,-100.0,220.0,-50.0,820.0,-100.0,960.0,0.0,162.0,-45.0,-79.5,3
2024-10-14T04:00:00.0,12.2,16.01,2024-10-14,04:00:00.0,22.55,-250.0,22.713573910416347,-250.0,950.0,-100.0,260.0,-50.0,900.0,-100.0,1020.0,-100.0,202.5,-45.0,-89.5,3
2024-10-14T05:00:00.0,12.0,19.67,2024-10-14,05:00:00.0,22.55,-70.33333333333333,22.755003051288014,-250.0,1000.0,-55.55555555555556,260.0,0.0,900.0,0.0,1020.0,0.0,243.0,-45.0,-42.08888888888889,3
2024-10-14T06:00:00.0,11.9,23.48,2024-10-14,06:00:00.0,22.5429,0.0,22.796319048846986,-250.0,1000.0,0.0,260.0,0.0,900.0,0.0,1020.0,0.0,283.5,-45.0,-29.5,3
2024-10-14T07:00:00.0,11.8,29.42,2024-10-14,07:00:00.0,22.535738066666664,0.0,22.787521993607907,0.0,900.0,80.0,260.0,0.0,900.0,0.0,1020.0,0.0,283.5,0.0,8.0,3
2024-10-14T08:00:00.0,11.9,27.9,2024-10-14,08:00:00.0,22.52864757462222,0.0,22.77881197601302,0.0,900.0,0.0,260.0,0.0,900.0,0.0,1020.0,0.0,283.5,0.0,0.0,3
2024-10-14T09:00:00.0,13.4,21.19,2024-10-14,09:00:00.0,22.54756180957247,-250.0,22.82130892643221,-250.0,900.0,0.0,260.0,0.0,900.0,0.0,1020.0,0.0,324.0,-45.0,-54.5,3
2024-10-14T10:00:00.0,15.2,25.23,2024-10-14,10:00:00.0,22.542663435032754,0.0,22.815211879291063,0.0,900.0,0.0,260.0,0.0,900.0,0.0,1020.0,0.0,324.0,0.0,0.0,3
2024-10-14T11:00:00.0,18.1,24.05,2024-10-14,11:00:00.0,22.5397016594094,0.0,22.83325910396291,-109.0969708763936,900.0,0.0,260.0,0.0,900.0,0.0,1020.0,0.0,324.0,0.0,-10.90969708763936,3
2024-10-14T12:00:00.0,19.1,23.01,2024-10-14,12:00:00.0,22.53740852496979,0.0,22.88027249667974,-250.0,900.0,0.0,260.0,0.0,900.0,0.0,1020.0,0.0,364.5,-45.0,-29.5,3
2024-10-14T13:00:00.0,19.8,22.09,2024-10-14,13:00:00.0,22.535583585953145,0.0,22.9278082786824,-250.0,900.0,0.0,260.0,0.0,900.0,0.0,1020.0,0.0,405.0,-45.0,-29.5,3
2024-10-14T14:00:00.0,19.5,22.1,2024-10-14,14:00:00.0,22.53355986356251,0.0,22.975066032059452,-250.0,900.0,0.0,260.0,0.0,900.0,0.0,1020.0,0.0,445.5,-45.0,-29.5,3
2024-10-14T15:00:00.0,18.2,21.93,2024-10-14,15:00:00.0,22.55,-193.29176346532952,23.021245979233804,-250.0,900.0,0.0,260.0,0.0,900.0,0.0,1020.0,0.0,486.0,-45.0,-48.82917634653295,3
2024-10-14T16:00:00.0,17.1,24.15,2024-10-14,16:00:00.0,22.546366666666668,0.0,23.016508982450418,0.0,900.0,0.0,260.0,0.0,900.0,0.0,1020.0,0.0,486.0,0.0,0.0,3
2024-10-14T17:00:00.0,14.4,30.86,2024-10-14,17:00:00.0,22.540935755555555,0.0,23.009615775264457,0.0,800.0,80.0,260.0,0.0,900.0,0.0,1020.0,0.0,486.0,0.0,8.0,3
2024-10-14T18:00:00.0,13.0,42.83,2024-10-14,18:00:00.0,22.53457513171852,0.0,23.001608082644246,0.0,700.0,80.0,202.85714285714286,40.0,900.0,0.0,1020.0,0.0,486.0,0.0,12.0,3
2024-10-14T19:00:00.0,11.7,49.9,2024-10-14,19:00:00.0,22.527352081630706,0.0,22.99256679617813,0.0,600.0,80.0,145.71428571428572,40.0,900.0,0.0,1020.0,0.0,486.0,0.0,12.0,3
2024-10-14T20:00:00.0,10.5,31.93,2024-10-14,20:00:00.0,22.519333846909618,0.0,22.98257274274119,0.0,500.0,80.0,100.0,32.0,900.0,0.0,1020.0,0.0,486.0,0.0,11.2,3
2024-10-14T21:00:00.0,9.9,27.13,2024-10-14,21:00:00.0,22.510920957678344,0.0,22.972106684546997,0.0,500.0,0.0,100.0,0.0,900.0,0.0,1020.0,0.0,486.0,0.0,0.0,3
2024-10-14T22:00:00.0,9.4,26.96,2024-10-14,22:00:00.0,22.502180343706556,0.0,22.96124899919936,0.0,500.0,0.0,100.0,0.0,900.0,0.0,1020.0,0.0,486.0,0.0,0.0,3
2024-10-14T23:00:00.0,8.9,22.86,2024-10-14,23:00:00.0,22.5,-68.87776522581181,23.0,-250.0,500.0,0.0,100.0,0.0,900.0,0.0,1020.0,0.0,526.5,-45.0,-36.38777652258118,3
2024-10-15T00:00:00.0,8.4,24.0,2024-10-15,00:00:00.0,22.491904585128122,-13.04585128119957,22.53872,-250.0,590.0,-100.0,111.42857142857143,-14.285714285714286,580.0,-100.0,900.0,0.0,40.5,-45.0,-52.23315655669139,6
2024-10-15T01:00:00.0,7.3,22.93,2024-10-15,01:00:00.0,22.506776648738036,-250.0,22.576529023999996,-250.0,680.0,-100.0,151.42857142857142,-50.0,660.0,-100.0,900.0,0.0,81.0,-45.0,-79.5,6
2024-10-15T02:00:00.0,7.4,22.46,2024-10-15,02:00:00.0,22.52170546430554,-250.0,22.614387800780797,-250.0,770.0,-100.0,191.42857142857142,-50.0,740.0,-100.0,960.0,-100.0,121.5,-45.0,-89.5,6
2024-10-15T03:00:00.0,7.2,21.94,2024-10-15,03:00:00.0,22.536490993996,-250.0,22.652056290540173,-250.0,860.0,-100.0,231.42857142857142,-50.0,820.0,-100.0,1020.0,-100.0,162.0,-45.0,-89.5,6
2024-10-15T04:00:00.0,5.3,23.03,2024-10-15,04:00:00.0,22.55,-250.0,22.68817464550774,-250.0,950.0,-100.0,271.42857142857144,-50.0,900.0,-100.0,1020.0,0.0,202.5,-45.0,-79.5,6
2024-10-15T05:00:00.0,4.8,26.37,2024-10-15,05:00:00.0,22.538166666666665,0.0,22.723864105791336,-250.0,950.0,0.0,271.42857142857144,0.0,900.0,0.0,1020.0,0.0,243.0,-45.0,-29.5,6
2024-10-15T06:00:00.0,4.7,34.01,2024-10-15,06:00:00.0,22.526274555555553,0.0,22.709445014506702,0.0,950.0,0.0,271.42857142857144,0.0,900.0,0.0,1020.0,0.0,243.0,0.0,0.0,6
2024-10-15T07:00:00.0,4.5,48.95,2024-10-15,07:00:00.0,22.514257039185182,0.0,22.694877458495096,0.0,850.0,80.0,214.28571428571428,40.0,900.0,0.0,1020.0,0.0,243.0,0.0,12.0,6
2024-10-15T08:00:00.0,5.3,39.57,2024-10-15,08:00:00.0,22.502780867825724,0.0,22.6809615565283,0.0,750.0,80.0,214.28571428571428,0.0,900.0,0.0,1020.0,0.0,243.0,0.0,8.0,6
2024-10-15T09:00:00.0,8.2,29.28,2024-10-15,09:00:00.0,22.493245680580507,0.0,22.71937678728308,-250.0,750.0,0.0,214.28571428571428,0.0,900.0,0.0,1020.0,0.0,243.0,0.0,-25.0,6
2024-10-15T10:00:00.0,10.1,28.98,2024-10-15,10:00:00.0,22.484983516793452,0.0,22.759281285853252,-250.0,750.0,0.0,214.28571428571428,0.0,900.0,0.0,1020.0,0.0,283.5,-45.0,-29.5,6
2024-10-15T11:00:00.0,12.0,27.77,2024-10-15,11:00:00.0,22.477993527782257,0.0,22.80067386082457,-250.0,750.0,0.0,214.28571428571428,0.0,900.0,0.0,1020.0,0.0,324.0,-45.0,-29.5,6
2024-10-15T12:00:00.0,13.3,26.21,2024-10-15,12:00:00.0,22.491622269247067,-197.47403816667511,22.84307332173591,-250.0,750.0,0.0,214.28571428571428,0.0,900.0,0.0,1020.0,0.0,364.5,-45.0,-49.24740381666751,6
2024-10-15T13:00:00.0,14.3,25.8,2024-10-15,13:00:00.0,22.511161187734235,-250.0,22.88623886307852,-250.0,750.0,0.0,214.28571428571428,0.0,900.0,0.0,1020.0,0.0,405.0,-45.0,-54.5,6
2024-10-15T14:00:00.0,14.2,24.66,2024-10-15,14:00:00.0,22.530620413609075,-250.0,22.929289871988058,-250.0,840.0,-100.0,214.28571428571428,0.0,900.0,0.0,1020.0,0.0,445.5,-45.0,-64.5,6
2024-10-15T15:00:00.0,14.1,25.42,2024-10-15,15:00:00.0,22.55,-250.0,22.972226440090466,-250.0,840.0,0.0,214.28571428571428,0.0,900.0,0.0,1020.0,0.0,486.0,-45.0,-54.5,6
2024-10-15T16:00:00.0,14.1,26.63,2024-10-15,16:00:00.0,22.55,-56.333333333333336,23.015128658938394,-250.0,840.0,0.0,214.28571428571428,0.0,900.0,0.0,1020.0,0.0,526.5,-45.0,-35.13333333333333,6
2024-10-15T17:00:00.0,13.5,34.56,2024-10-15,17:00:00.0,22.543966666666666,0.0,23.007516556011243,0.0,800.0,32.0,214.28571428571428,0.0,900.0,0.0,1020.0,0.0,526.5,0.0,3.2,6
2024-10-15T18:00:00.0,12.8,48.94,2024-10-15,18:00:00.0,22.537470688888888,0.0,22.999350542766436,0.0,700.0,80.0,157.14285714285714,40.0,900.0,0.0,1020.0,0.0,526.5,0.0,12.0,6
2024-10-15T19:00:00.0,11.0,51.73,2024-10-15,19:00:00.0,22.52977904176296,0.0,22.989751062332225,0.0,600.0,80.0,100.0,40.0,900.0,0.0,1020.0,0.0,526.5,0.0,12.0,6
2024-10-15T20:00:00.0,9.7,38.14,2024-10-15,20:00:00.0,22.521225855735118,0.0,22.97911926148236,0.0,500.0,80.0,100.0,0.0,900.0,0.0,1020.0,0.0,526.5,0.0,8.0,6
2024-10-15T21:00:00.0,7.9,30.87,2024-10-15,21:00:00.0,22.511478371831295,0.0,22.975951617979735,-44.47825953279916,500.0,0.0,100.0,0.0,900.0,0.0,1020.0,0.0,526.5,0.0,-4.447825953279915,6
2024-10-15T22:00:00.0,7.5,32.1,2024-10-15,22:00:00.0,22.501470719583406,0.0,22.96357085668535,0.0,500.0,0.0,100.0,0.0,900.0,0.0,1020.0,0.0,526.5,0.0,0.0,6
2024-10-15T23:00:00.0,6.0,29.33,2024-10-15,23:00:00.0,22.5,-95.3026089631552,23.0,-250.0,500.0,0.0,100.0,0.0,900.0,0.0,1020.0,0.0,526.5,0.0,-34.53026089631552,6
2024-10-16T00:00:00.0,4.8,27.24,2024-10-16,00:00:00.0,22.4882,0.0,22.53584,-250.0,500.0,0.0,100.0,0.0,500.0,0.0,900.0,0.0,40.5,-45.0,-29.5,6
2024-10-16T01:00:00.0,4.5,24.64,2024-10-16,01:00:00.0,22.501207866666665,-250.0,22.57141132799999,-250.0,590.0,-100.0,140.0,-50.0,580.0,-100.0,900.0,0.0,81.0,-45.0,-79.5,6
2024-10-16T02:00:00.0,3.8,22.8,2024-10-16,02:00:00.0,22.51374039475555,-250.0,22.60639419893759,-250.0,680.0,-100.0,180.0,-50.0,660.0,-100.0,960.0,-100.0,121.5,-45.0,-89.5,6
2024-10-16T03:00:00.0,3.8,23.13,2024-10-16,03:00:00.0,22.526264567825713,-250.0,22.64134908357844,-250.0,770.0,-100.0,220.0,-50.0,740.0,-100.0,1020.0,-100.0,162.0,-45.0,-89.5,6
2024-10-16T04:00:00.0,3.8,23.13,2024-10-16,04:00:00.0,22.538780391447162,-250.0,22.67627600431158,-250.0,860.0,-100.0,260.0,-50.0,820.0,-100.0,1020.0,0.0,202.5,-45.0,-79.5,6
2024-10-16T05:00:00.0,4.9,25.97,2024-10-16,05:00:00.0,22.533687299130406,-66.6609461087484,22.71205498350813,-250.0,860.0,0.0,260.0,0.0,820.0,0.0,1020.0,0.0,243.0,-45.0,-36.16609461087484,6
2024-10-16T06:00:00.0,4.0,49.31,2024-10-16,06:00:00.0,22.52133150759765,0.0,22.697085339521323,0.0,760.0,80.0,202.85714285714286,40.0,820.0,0.0,1020.0,0.0,243.0,0.0,12.0,6
2024-10-16T07:00:00.0,4.7,61.35,2024-10-16,07:00:00.0,22.509450619925914,0.0,22.682687671249706,0.0,660.0,80.0,145.71428571428572,40.0,820.0,0.0,1020.0,0.0,243.0,0.0,12.0,6
2024-10-16T08:00:00.0,4.3,41.09,2024-10-16,08:00:00.0,22.497310986179297,0.0,22.667981521112708,0.0,560.0,80.0,145.71428571428572,0.0,820.0,0.0,1020.0,0.0,243.0,0.0,8.0,6
2024-10-16T09:00:00.0,8.0,26.09,2024-10-16,09:00:00.0,22.48764611218851,0.0,22.70624713589582,-250.0,560.0,0.0,145.71428571428572,0.0,820.0,0.0,1020.0,0.0,283.5,-45.0,-29.5,6
2024-10-16T10:00:00.0,10.1,26.94,2024-10-16,10:00:00.0,22.47938768144705,0.0,22.746162138187103,-250.0,560.0,0.0,145.71428571428572,0.0,820.0,0.0,1020.0,0.0,324.0,-45.0,-29.5,6
2024-10-16T11:00:00.0,11.3,26.17,2024-10-16,11:00:00.0,22.471934756326082,0.0,22.787005208476554,-250.0,560.0,0.0,145.71428571428572,0.0,820.0,0.0,1020.0,0.0,364.5,-45.0,-29.5,6
2024-10-16T12:00:00.0,12.9,25.72,2024-10-16,12:00:00.0,22.490553466488528,-250.0,22.829095604309774,-250.0,630.0,-77.77777777777777,145.71428571428572,0.0,820.0,0.0,1020.0,0.0,405.0,-45.0,-62.277777777777786,6
2024-10-16T13:00:00.0,14.0,25.42,2024-10-16,13:00:00.0,22.509893097510865,-250.0,22.872032327826325,-250.0,720.0,-100.0,145.71428571428572,0.0,820.0,0.0,1020.0,0.0,445.5,-45.0,-64.5,6
